ref-02-01|Buyer Dev, 38; spouse Mira, 36; children 6 and 9; compare one INR 1000000 floater with INR 1000000 per person; two otherwise eligible claims INR 700000 and INR 600000 in one year.|Is the quoted SI shared or available separately to each named person, and are benefits otherwise comparable?|For this illustration, assume exactly those limits, no other deductions and no previous usage. The first claim is for Dev and the second for Mira; prices are unknown.|The New India benefit table distinguishes per-member SI from entire-family SI. In the fixture the floater has INR 300000 left after the first 700000 claim, leaving 300000 of the second 600000 unfunded; separate per-person limits can cover both assumed amounts. This is allocation arithmetic, not proof of comparative premiums or actual admissibility.|N9,N10,E2|Actual individual/floater quotes, complete current terms and accepted family membership are absent; no recommendation from nominal SI alone.
ref-02-02|Buyer Dev, 38; healthy spouse Mira 36; father 71 with diabetes; proposes one Star Gold floater for all; priorities simplicity and parent protection.|Which relationships does the selected wording admit, and are you asking for one policy or just one account?|One policy. Father has regular diabetes treatment; no insurer has accepted him.|Star's family definition is self, spouse, dependent children; it does not support adding a parent to this floater merely because he is family. New India lists parents as a relationship, but that alone does not establish age/medical acceptance. Keep separate-policy alternatives open and require original eligibility plus individual terms.|S1,N5,I6|Father's acceptable product/age terms and medical underwriting remain missing; do not generalize Star's relationship restriction to all insurers.
ref-02-03|Buyer Dev, 38 and spouse 36; one hypothetical SI INR 500000 floater; paid eligible claim 200000; pending admission authorization reserve 150000; another proposed procedure estimated 250000.|Is the 150000 reserve additional to the paid 200000, and does it belong to the same claim?|It belongs to a new unpaid admission; neither amount duplicates the other. Another procedure may cost 250000.|Maintain paid and reserved amounts with claim identity and reservation status. The illustrative uncommitted balance is 150000, while ultimate payable balance depends on the pending claim's final amount. Do not subtract the same authorization and settlement twice. Expected procedure cost does not itself consume final claim cover or prove admissibility.|N9,S16,E2|Issued shared-limit terms and actual claim/authorization ledgers absent; distinguish exposure estimate from settled availability.
ref-02-04|Buyer Dev, 38; spouse 36 has separate employer policy; intended insureds Dev and child 6 only; preference no duplicate membership.|Should spouse remain outside this purchase even though she is part of the household?|Yes. Only me and our daughter; I will pay for both.|Record spouse as a related person with separate cover, not automatically as a proposed insured. Select configurations by the two intended members and confirm dependent-child eligibility. Preserve spouse cover only where expressly relevant to coordination. A shared account or legal marriage does not authorize silently adding someone to a quote.|N5,N6,N9|Exact configuration, child eligibility and personal quotes missing; no insurer acceptance inferred from relationship list.
ref-02-05|Buyer Dev, 38; unmarried partner Mira 36; want one floater; neither has existing insurance; no legal marriage documents.|Are you legally married, and which exact product's relationship definition is being considered?|No. The candidate is New India AS; we have only seen the word family.|The preserved New India definition specifies legally wedded spouse. It does not establish the partner's eligibility as spouse. Retain alternative separate policies or products with explicit partner eligibility as uncertain candidates; do not falsify relationship or exclude either person from all insurance.|N5,I6|No original product explicitly supporting this relationship supplied; quotation and accepted terms remain unknown.
ref-02-06|Buyer Dev 38; spouse 36; parents 66 and 63; parents-in-law 64 and 61; six proposed insureds; wants one New India AS floater.|Does the selected configuration permit six people with these relationships and ages, not only list the relationship names?|The document lists parents and parents-in-law, but I have no six-member offer.|The family definition supports these relationship categories, but a category list is not proof of every age/member-count configuration. Retain each person's relationship, DOB and disclosure separately. Obtain schedule/prospectus/configuration limits before confirming one floater; compare separate arrangements if no compliant six-member option is established.|N5,N9,I6|Member-count and age configuration rules, disclosures and an actual offer are missing; no six-person acceptance or price manufactured.
ref-02-07|Buyer Dev 38, spouse 36, mother 70; compares family grouping costs; only a solo age 38 rate INR 10000 is known.|Is the displayed price for your exact family and are all proposed people eligible in that product?|No; it is a single-person example. Mother has no quote.|A solo rate cannot be multiplied or age-adjusted into a family quote without the insurer's pricing basis. First establish eligible grouping and each member's accepted terms, then obtain owner-specific prices. Keep higher-age pricing as an unmeasured comparison variable, not a fabricated loading.|N9,I6,P8|Family quote, pricing basis and mother eligibility/underwriting absent; amount 10000 remains an unrelated published example.
ref-02-08|Buyer Dev 38; child 9 with chronic kidney disease; family SI options 500000 and 1000000; child treatment sublimit claimed 200000 by sales summary.|Does the disease sublimit increase with SI or remain fixed, and does restoration replenish it?|The summary does not say; expected dialysis spend 250000/year.|Higher shared SI need not change a fixed disease cap. Obtain the exact child eligibility, daycare/dialysis grant, waiting, sublimit base and replenishment rule. A 250000 expense estimate against a stipulated fixed 200000 cap would leave at least 50000 before other deductions, but this cap is not yet original-backed. Keep that arithmetic explicitly hypothetical.|N45,N16,N23,S12|Child acceptance and authentic disease-cap/restoration provisions missing; no fixed 200000 cap published as a policy fact.
ref-02-09|Buyer Dev, 38, in Kota; spouse, 36, in Delhi for work; child, 9, in Kota; one floater requested; the family needs access to hospitals in both cities.|Which branches need cashless access, and is the Delhi address temporary residence or a changed policy address?|Two named branches are essential; I have only a Kota network listing.|Record residence and treatment preferences per person. A Kota network observation proves nothing about the Delhi branch; territory India does not establish network or zone co-pay. Request exact dated branch matches and applicable residential/treatment-zone terms for the chosen configuration.|I31,S20,S23,S30|Delhi branch evidence and relevant zone conditions absent; one city's match cannot validate the family network requirement.
ref-02-10|Buyer Dev 38; family roster Dev, Mira 36, child 9, child 6, father 66, mother 63; considers two floaters; initial grouping accidentally lists child 9 twice.|Confirm the intended membership of each policy and whether anyone needs deliberate overlapping cover.|Correction: first policy Dev, Mira, children; second policy father, mother. No duplicates intended.|Preserve one canonical person identity per family member and explicit membership sets. The correction removes the duplicate from the second quote and invalidates both premium/limit comparisons derived from the old grouping. Parent-product eligibility still needs its own original evidence; arithmetic grouping is not acceptance.|N5,N9,S1|Both configurations and quotes absent. Current roster can be resolved while product suitability remains unestablished.
ref-03-01|Buyer Leela 32; baby born 1 Aug 2026; request 10 Sep 2026; New India AS considered; priority cover from birth.|Are you asking for prospective addition at eligible entry age or payment for treatment since birth?|Both. Baby is 40 days old and has no other insurance.|New India's dependent-child definition starts at 3 months, whereas the baby is younger at the request date. It does not establish cover from birth or backdating. Distinguish earliest prospective eligibility, insurer acceptance and any separately worded newborn benefit. Do not equate birth registration with policy inception.|N6,N9|No applicable newborn benefit or accepted retrospective endorsement; future exact eligibility and issuance remain to be confirmed.
ref-03-02|Buyer Leela 55; dependent son DOB 30 Sep 2001; renewal 1 Oct 2026; New India AS child range 3 months-25 years; no income.|Does the policy use completed age and include age 25, and is there a child conversion provision?|He turns 25 the day before renewal; no conversion terms are supplied.|The son is 25 at renewal; do not round his age to 26. Read the child age/dependency definition with cumulative-bonus note e, which expressly addresses splitting a policy when a child attains 25 and allocates the expiring bonus in proportion to the renewed policies' SI. Do not assume that the age range alone permits renewal in the same floater. Obtain the applicable split/conversion terms, precise event boundary and renewal offers before deciding his continued membership or bonus allocation.|N1,N6,I18,E10|Exact renewal membership, split/conversion acceptance, resulting SI allocations and applicable bonus history are missing. The connected age-related split clause must be considered; a generic unresolved upper-age range is not the whole rule.
ref-03-03|Buyer Leela 32; legally adopted daughter 2; adoption 15 Aug 2026; existing family policy year 1 Jan-31 Dec; addition requested 10 Sep.|Has the insurer accepted the addition with a stated inception and separate waiting credit?|No. I assumed adoption date automatically starts cover.|Legal adoption supports the relationship category in New India's definition but not automatic midterm cover. Record adoption, request, acceptance and effective dates separately. A new child's waiting clock must not reset existing insureds' history; any credit or backdating needs an applicable original/endorsement.|N6,N37,N38|Midterm addition provision, accepted date and new-member waiting/credit terms absent.
ref-03-04|Buyer Leela 32; newborn born 1 Aug 2026; NICU 1-12 Aug; addition requested 20 Aug; selected Star Gold wording; priority NICU bill.|Was the baby expressly covered from birth under a selected benefit, rather than merely later proposed for addition?|No birth cover or accepted addition supplied. I saw the delivery benefit.|Star's maternal delivery grant does not establish newborn cover; its specific newborn-treatment exclusion is separate. Later addition cannot be assumed to cover earlier NICU dates. Keep mother and child expenses and dates distinct; investigate any other existing contract with explicit newborn cover.|S9,S10,S22|No qualifying newborn original or accepted effective-date exception. The selected original does not support the requested NICU payment.
ref-03-05|Buyer Leela 52; son 22 earns INR 40000/month and lives at home; current New India AS family cover; renewal 1 Oct 2026.|Is he financially independent, and are you asking about the current term or the next renewal?|Independent salary; question is next renewal.|New India's definition says a child above 18 who is financially independent is ineligible in subsequent renewals. Living at the same address does not satisfy dependency. Assess a separate eligible policy/migration without pretending this finding cancels the current term immediately or guarantees the alternative.|N6,I18|Separate product acceptance and migration credit terms absent; current-term treatment must use its own effective membership rules.
ref-03-06|Buyer Leela 50; daughter 21 studies in Delhi, dependent on parents in Kota; no income; named existing insured; seeks local student access.|Is she still financially dependent and studying within India, and which Delhi branch matters?|Yes, she is financially dependent and studies in Delhi; we have not chosen the exact branch.|A different Indian city does not alone end financial dependency or exceed the stated India territory. Keep residency, dependency and network needs separate. Verify the product's age/dependency condition and exact local provider evidence; don't infer cashless access from territorial eligibility.|N6,S30,I31|Specific insurer branch and any zone conditions absent; family eligibility also requires applicable named schedule.
ref-03-07|Buyer Leela 32; one child 6; second baby expected; sales summary claims maximum 1 child but no product identified.|Which exact configuration has the one-child limit, and is the new baby the second child or an additional child beyond an existing two-child limit?|Second child overall; I may have misread the quote.|Resolve the contradictory member count before excluding anyone. Preserve the one-child limit as an unverified reported statement, not product knowledge. Request exact product/variant, schedule and member cap. New India's relationship definition alone does not prove an unlimited number of children or the reported limit.|N6,N9|Authentic maximum-child configuration and newborn entry terms missing; no supported exclusion yet.
ref-03-08|Buyer Leela 32; son 5 with internal congenital heart defect; surgery proposed Jan 2027; new New India AS policy proposed Oct 2026; no continuity credit.|Is the condition internal or external, when was it diagnosed, and is any disease exclusion proposed?|Internal, diagnosed 2023 with ongoing follow-up. No accepted policy yet.|The original lists internal congenital anomalies under a 24-month specific wait; the PED rule and acceptance may add constraints, with the longer applicable wait controlling. Do not label all congenital conditions excluded or all accepted after 24 months. January 2027 is too early under the stipulated fresh-wait scenario, but no final underwriting decision exists.|N23,N24,N22,P5|PED conflict in the selected wording, individual acceptance and exact clinical classification need closure before definitive terms.
ref-03-09|Buyer Leela 32; child 7 only needs personal cover; both parents have employer insurance; payer Leela is not intended insured.|Does the chosen product permit a child-only insured configuration with an adult proposer?|Unknown; I do not want to add myself merely to generate a quote.|Keep adult proposer/payer separate from child insured. A dependent-child definition does not by itself prove standalone child-only availability. Request product-specific configuration and proposer/guardian conditions, then compare supported alternatives; do not automatically add a parent to the insured roster.|N6,N9,I6|Original child-only configuration/guardian rules and quote absent; neither availability nor blanket rejection is established.
ref-03-10|Buyer Leela 52; dependent daughter 23 marries 15 Nov 2026; current term ends 31 Dec 2026; no salary; product New India AS.|Does the selected wording change child eligibility on marriage, financial independence or renewal?|I only found the dependency/age wording; no marriage clause.|Do not invent a marriage-triggered termination. The read definition addresses age and financial independence at subsequent renewals; other contract conditions must be checked for marriage effects. Preserve marriage as a dated event and investigate separate/migrated cover if needed without resetting other members' waits.|N6,N37,I18|No explicit marriage-triggered membership rule or accepted change supplied; immediate termination cannot be asserted.
ref-04-01|Buyer Ritu 35, Kota; insured mother 70, no insurance; annual budget 25000; mother location unknown; priority credible senior options.|Where does your mother live and what conditions/medicines does she have?|She lives in Kota, takes hypertension medicine; no product or quote accepted.|Attribute 70 and hypertension to mother, 35 to buyer. An insurer-wide duty to offer choices is not individual acceptance. The New India table distinguishes proposer from insured-family roles, so do not use its proposer-age text as a blanket 70-year-old-parent rejection without complete eligibility evidence. Obtain appropriate senior originals and offers.|N1,N5,N9,I6,E1|Mother's complete disclosures, source-backed entry eligibility and quotes across candidate senior products are missing.
ref-04-02|Buyer Ritu, 35; father, 68, has diabetes; HR reports that employer cover ends 30 Sep 2026; he wants a private room; proposed personal start date 1 Oct; no acceptance.|What continuity evidence and room category apply, and has replacement cover been accepted?|HR exit notice only; no master wording or insurer decision. He needs a private room and has INR 20000 cash.|Keep member termination and employment exit separate, evaluate migration/credit evidence, and compare the precise room rule plus funding needs. A private room preference cannot override a cap; uninterrupted calendar dates do not prove accepted continuity. No replacement funding should be promised while proposal and employer terms remain unresolved.|I18,P16,N10,N13|Employer member/master originals, father acceptance, credited layers and exact room/quote terms absent.
ref-04-03|Buyer Ritu 35; mother DOB 10 Sep 1956; proposed start 10 Sep 2026; reported max entry 70 from salesperson; quote form submitted 9 Sep.|What original defines the age method, maximum inclusivity and reference date?|No original entry rule; birthday is exactly proposed start.|Completed age is 70 on 10 September, 69 the day before. Compare the original's actual age event and inclusive bound; do not choose quote-form age merely to pass eligibility. A salesperson's maximum is unverified. New India's age definition illustrates why reference events must be explicit, not why this unnamed policy accepts 70.|N1,I6|Authentic product-specific age limit and reference event missing; no age eligibility verdict established.
ref-04-04|Buyer Ritu, 35; father, 68; offer reportedly requires a 30% co-pay; premium is affordable; available cash for a claim is 20000; hypothetical admissible claim is 100000.|Is 30% in the accepted offer, and can he fund the amount after other exclusions?|It is only an offer summary; he cannot fund 30000.|For the expressly hypothetical 30% of 100000, cost share is 30000, above available 20000. This is a 10000 funding shortfall before other restrictions. The actual percentage/base must be supported by original offer terms; a general affordability recommendation is not established by premium alone.|N31,N9|Authentic 30% clause, percentage base, other deductions and alternative quote absent. 30% is a scenario assumption, not a claimed standard policy rate.
ref-04-05|Buyer Ritu, 35; father, 68, has a cardiac history; mother, 63, reports no health conditions; expected outpatient follow-up for father costs 5000/month; wants to compare separate policies with a floater.|Is the regular expense outpatient follow-up or an admissible inpatient/daycare episode?|Ordinary clinic review and medicines; no admission planned.|Classify INR 60000 annual recurring spend separately from inpatient protection. New India explicitly excludes OPD under 7.18, so its hospital grant does not establish payment for these visits. Compare parent eligibility, separate/shared limits and source-backed OPD options; no blanket cardiac exclusion follows from outpatient exclusion.|N27,N9,N5|Applicable OPD alternative wording, both medical acceptances and personal quotes absent; INR 60000 is spend arithmetic only.
ref-04-06|Buyer Ritu 35; father 68 completed medical screening 5 Sep 2026; proposal status medical review; planned start 15 Sep; no issue confirmation.|Have you received written underwriting acceptance with start date, loading and exclusions?|No; only lab completion notification.|Screening is an observation, not an accepted contract or rejection. Preserve request/results/underwriting-decision states separately. Abnormal findings should not be translated into a diagnosis without evidence; no coverage begins merely because tests finished. Request actual offer and accepted dates before relying on it.|N9,N37,P17|Underwriting decision and accepted configuration absent; no new cover may be treated as in force.
ref-04-07|Buyer Ritu 35; father 74 has continuous old cover, product withdrawn for new sales; renewal 1 Oct 2026; retirement does not change policy owner.|Do you have the withdrawal notice and existing-holder renewal/migration options?|Only a website saying sales closed; prior policy still active.|Closed new sales and existing renewal rights are different. The regulator supplies withdrawal procedures and a one-time renewal option in a defined 90-day context, plus migration choices; the exact notice/period selects the route. Do not erase historical policy terms or direct a 74-year-old to restart as a new buyer solely from sales status.|I33,I34,I35,N34|Authentic withdrawal/effective notice, current policy terms and specific renewal offer absent.
ref-04-08|Buyer Ritu 35; mother 70; offer has restricted network option; preferred branch outside it; excluded provider status unknown.|Does treatment outside the option network trigger co-pay, reimbursement limits or an absolute restriction?|The offer summary does not say; mother will not change hospitals.|Outside an optional network and expressly excluded provider are separate states. Obtain rider/option conditions and exact branch status before rejecting or quantifying a deduction. A broad insurer network list cannot override a narrower selected option. Mother's fixed preference is material to suitability.|I31,S20,S23,N37|Selected network-option original, branch observations and underwriting/quote absent.
ref-04-09|Buyer Ritu 35; father 68 spent 400000 on last admission, remaining cash 30000; wants new SI 1000000; discharged 1 Aug 2026.|Is this a new purchase or accepted increase/migration of existing cover, and when was the condition treated?|New purchase; recent admission records exist but no insurer decision.|Recent treatment must be represented and disclosed without promising immediate funding. New or enhanced amounts need their own waiting/credit assessment; prior self-funded admission creates no insurance continuity by itself. Separate future protection from the past bill and assess remaining cash against deductions.|P5,N38,P17|Full discharge/diagnosis facts, underwriting offers and actual continuity evidence absent; no immediate new cover established.
ref-04-10|Buyer Ritu 35; father 68 retired; compare room-limited offer A with deductible offer B; common bill 200000; premium terms and deductible amount unknown.|Can both offers be priced for the same person, SI, term and bill, including affected room charges?|Not yet; I only have brochures.|Specify a common itemized admissible bill and compare room/proportional deductions against the accepted deductible, other co-pay and actual annual price. A lower premium or unrestricted room label alone cannot choose between them. Keep deduction order and affected item sets explicit; do not invent deductible amount from a marketing example.|N10,N13,N31,S3|Comparable personal offers, exact deduction order/bases and bill allocation missing; no numerical ranking support.
